trigger_phrase,category_tag,target_section,risk_explanation,builder_impact,clarification_question,confidence_requirement,suppression_rule
patching,UNDEFINED_BOUNDARY,Common Dispute Zones,Introduces partial work without defining limits of removal or restoration.,Partial work leads to disputes over how much restoration is included.,This language introduces partial work without defining the limits of removal or restoration. What is the full extent of patching included in this scope?,pattern_based,suppress_if_explicitly_defined
patch and refinish,UNDEFINED_BOUNDARY,Common Dispute Zones,Introduces partial refinishing without defining blend limits or finish expectations.,Finish blending disputes consume PM time and delay closeout.,"This language introduces partial refinishing without defining blend limits or finish expectations. What areas are included in patching and refinishing, and what condition defines completion?",pattern_based,suppress_if_explicitly_defined
patch tile,UNDEFINED_BOUNDARY,Common Dispute Zones,Introduces localized repair without defining acceptable visual variance.,Localized repairs trigger aesthetic disputes disproportionate to scope size.,"This language introduces localized tile repair without defining acceptable visual variance. What tile areas are included, and how far beyond the work area does patching extend?",pattern_based,suppress_if_explicitly_defined
patch stucco,UNDEFINED_BOUNDARY,Common Dispute Zones,Introduces exterior repair without defining finish tolerance or extent.,Exterior patching increases exposure to visual rejection and callbacks.,"This language introduces exterior stucco repair without defining finish tolerance or extent. What stucco areas are included, and how far beyond the work area does patching extend?",pattern_based,suppress_if_explicitly_defined
repair,UNDEFINED_BOUNDARY,Common Dispute Zones,"Requires corrective work without defining cause, extent, or responsibility.",Builder may be required to fix pre-existing conditions at their own cost.,"This language requires corrective work without defining cause, extent, or responsibility. What specific repair conditions are included in this scope?",pattern_based,suppress_if_explicitly_defined
repair as needed,UNDEFINED_BOUNDARY,Common Dispute Zones,Allows repairs to expand beyond original scope without cost or schedule control.,Repair scope expands without schedule relief or cost recovery.,"This language allows repairs to expand beyond the original scope without cost or schedule control. What conditions trigger required repairs, and is there a not-to-exceed limit?",pattern_based,always_surface
including but not limited to,SCOPE_GAP,Common Dispute Zones,Creates an open-ended scope with no enforceable boundaries.,Builder loses the ability to enforce scope boundaries.,This language creates an open-ended scope with no enforceable boundaries. What items are explicitly included and explicitly excluded from this scope?,explicit_only,always_surface
including any required upgrades,REQUIRED_UPGRADES,Common Dispute Zones,References upgrades without defining technical scope or cost responsibility.,Upgrade costs surface late and are often disputed or denied.,"This language references upgrades without defining technical scope or cost responsibility. What specific upgrades are included, and are design, labor, and permitting included?",pattern_based,always_surface
required upgrades,REQUIRED_UPGRADES,Common Dispute Zones,References upgrades without defining technical scope or cost responsibility.,Upgrade costs surface late and are often disputed or denied.,"This language references upgrades without defining technical scope or cost responsibility. What specific upgrades are included, and are design, labor, and permitting included?",pattern_based,always_surface
bring to code,REQUIRED_UPGRADES,Common Dispute Zones,Shifts code compliance risk to the builder without pre-defined assemblies.,Builder absorbs redesign and rework required for compliance.,"This language shifts code compliance risk to the builder without pre-defined assemblies. What specific code deficiencies are anticipated, and are they included in this scope?",pattern_based,always_surface
code upgrades,CODE_DEP,Common Dispute Zones,Shifts code compliance risk to the builder without pre-defined assemblies.,Builder absorbs redesign and rework required for compliance.,"This language shifts code compliance risk to the builder without pre-defined assemblies. What specific code deficiencies are anticipated, and are they included in this scope?",pattern_based,always_surface
upgrade,REQUIRED_UPGRADES,Common Dispute Zones,Allows scope expansion through undefined improvement requirements.,Builder becomes responsible for undefined improvements beyond base scope.,"This language allows scope expansion through undefined improvement requirements. What specific upgrades are included, and how are additional requirements handled?",pattern_based,always_surface
changes required by the building department,REQUIRED_UPGRADES,Common Dispute Zones,Allows scope changes driven by authority having jurisdiction without cost or schedule protection.,Inspector-driven changes disrupt schedule and increase costs mid-project.,"This language allows scope changes driven by the authority having jurisdiction without cost or schedule protection. Which building department–required changes are included, and how are additional requirements addressed?",pattern_based,always_surface
subject to approval,SUBJECTIVE_AUTHORITY,Implied or Ambiguous Responsibilities,Makes acceptance subjective and dependent on third-party discretion.,Builder must satisfy subjective preferences to achieve acceptance.,"Acceptance authority is subjective and not currently bounded by objective criteria. Who has approval authority, and what measurable standards will be used to determine acceptance?",explicit_only,suppress_if_explicitly_defined
TBD,SCOPE_GAP,Implied or Ambiguous Responsibilities,Leaves scope undefined at contract execution.,"Undefined scope delays pricing, procurement, and sequencing.","This item is undefined at the time of contract execution, which delays pricing and sequencing. When will this item be defined, and what assumptions apply until that occurs?",explicit_only,always_surface
to be determined,SCOPE_GAP,Implied or Ambiguous Responsibilities,Leaves scope undefined at contract execution.,"Undefined scope delays pricing, procurement, and sequencing.","This item is undefined at the time of contract execution, which delays pricing and sequencing. When will this item be defined, and what assumptions apply until that occurs?",explicit_only,always_surface
extent unknown,SCOPE_GAP,Implied or Ambiguous Responsibilities,Acknowledges unknown conditions without defining risk ownership.,Builder absorbs investigation and remediation risk for unknown conditions.,"Unknown conditions are acknowledged without assigning risk ownership. What specific conditions are currently unknown, and how will responsibility for investigation and remediation be determined?",explicit_only,always_surface
exact solution cannot be defined,SCOPE_GAP,Implied or Ambiguous Responsibilities,Acknowledges inability to define solution while omitting cost and schedule safeguards.,"Builder proceeds without clarity, increasing likelihood of disputes.","The solution cannot be defined with current information, but cost and schedule protections are not stated. What information is missing today, and how will scope, cost, and schedule be adjusted once it is known?",explicit_only,always_surface
best practice assumptions,SCOPE_GAP,Implied or Ambiguous Responsibilities,Relies on assumed standards rather than defined requirements.,Assumed standards lead to disagreements over quality and completeness.,"Assumptions are being used in place of defined requirements. What specific assumptions have been made, and how will deviations from those assumptions be handled?",explicit_only,always_surface
industry standard,SUBJECTIVE_QUALITY,Implied or Ambiguous Responsibilities,Uses vague quality language without measurable performance criteria.,Quality disputes escalate due to lack of measurable benchmarks.,Quality expectations are described using vague language without measurable benchmarks. What specific published industry standard or reference governs acceptance in this case?,explicit_only,always_surface
workmanlike,SUBJECTIVE_QUALITY,Implied or Ambiguous Responsibilities,Uses vague quality language without measurable performance criteria.,Quality disputes escalate due to lack of measurable benchmarks.,"Quality expectations are described using vague workmanship language without measurable criteria. What specific workmanship standard, tolerance, or reference governs acceptance?",explicit_only,always_surface
satisfaction of,SUBJECTIVE_QUALITY,Implied or Ambiguous Responsibilities,Replaces objective acceptance criteria with personal judgment.,Builder must redo acceptable work to satisfy personal opinion.,Acceptance is based on personal judgment rather than objective criteria. What measurable standards replace personal satisfaction for determining acceptance?,pattern_based,suppress_if_explicitly_defined
coordinate with,COORD_BURDEN,Implied or Ambiguous Responsibilities,Shifts coordination burden and risk to the builder without defining priority.,Builder manages trade conflicts without authority to enforce sequencing.,"Coordination responsibility is assigned without defining trade priority or enforcement authority. Which trades are involved, and who has priority if conflicts arise?",context_dependent,suppress_if_explicitly_defined
require coordination with,COORD_BURDEN,Implied or Ambiguous Responsibilities,Shifts coordination burden and risk to the builder without defining priority.,Builder manages trade conflicts without authority to enforce sequencing.,"Coordination responsibility is assigned without defining trade priority or enforcement authority. Which trades are involved, and who has priority if conflicts arise?",context_dependent,suppress_if_explicitly_defined
by others,RESP_SHIFT,Implied or Ambiguous Responsibilities,Creates responsibility gaps with unnamed third parties.,Builder becomes default problem-solver for third-party failures.,Responsibility is deferred to unnamed third parties without defined handoff conditions. What is the required handoff condition and timing from the other party?,explicit_only,suppress_if_explicitly_defined
verify in field,COORD_BURDEN,Explicit Builder Commitments,Transfers design verification responsibility to the builder.,Builder assumes liability for design inaccuracies discovered on site.,"Design accuracy is deferred to field verification by the builder. How are discrepancies between drawings and field conditions resolved, and how is responsibility assigned?",context_dependent,suppress_if_explicitly_defined
modify as needed,AS_NEEDED,Common Dispute Zones,Allows scope modification without defining approval or compensation mechanism.,Scope changes occur without formal change order approval.,"Scope modification is allowed without defining approval or compensation mechanisms. What conditions trigger modification, and is there a limit to the work included?",pattern_based,always_surface
remove and replace as needed,AS_NEEDED,Common Dispute Zones,Allows scope expansion without defining limits or compensation.,Scope grows incrementally without clear compensation.,"Removal and replacement scope is allowed to expand without defined limits or compensation. What conditions trigger replacement, and is there a limit to the work included?",pattern_based,always_surface
complete system,UNDEFINED_SCOPE,Implied or Ambiguous Responsibilities,Implies completeness without defining included systems or exclusions.,Clients assume more systems are included than priced.,"The scope implies a complete system without defining which systems are included or excluded. What systems are explicitly included, and which systems are explicitly excluded?",explicit_only,always_surface
turnkey,UNDEFINED_SCOPE,Implied or Ambiguous Responsibilities,Implies a fully complete deliverable regardless of documentation completeness.,Clients expect full completion regardless of missing documentation.,The term “turnkey” implies full completion regardless of documentation completeness. What items are explicitly excluded from the definition of turnkey in this scope?,explicit_only,always_surface
fixed price,PRICING_RISK,Common Dispute Zones,Locks pricing while scope remains variable or undefined.,Builder absorbs overruns caused by incomplete or evolving scope.,The contract establishes a fixed price while scope elements remain variable or undefined. How are scope changes handled when costs exceed the fixed price?,explicit_only,always_surface
allowance,PRICING_RISK,Common Dispute Zones,Uses placeholder pricing instead of defined specifications.,Allowances lead to frequent budget overruns and client conflict.,"The scope relies on an allowance rather than a defined specification. What costs are included in the allowance, and how are overruns approved and handled?",pattern_based,always_surface
"excludes any electric, gas, sewer, or water service upgrade",EXCLUSION_RISK,Common Dispute Zones,Creates ambiguity around excluded utility upgrades and responsibility boundaries.,Utility upgrade disputes delay progress and strain client relationships.,"Utility upgrades are referenced as exclusions without clearly defining responsibility boundaries. Are electric, gas, sewer, and water service upgrades explicitly excluded from both the contract sum and schedule?",explicit_only,suppress_if_exclusion_present
